"playlistNum","average_duration","average_danceability","average_energy","average_loudness","average_speechiness","average_acousticness","average_instrumentalness","average_liveness","average_valence","average_tempo"
1,3.70127254901961,0.668803921568627,0.777960784313726,-4.90845098039216,0.104486274509804,0.0852822333333333,0.000687605098039216,0.187264705882353,0.645450980392157,120.593254901961
2,4.98139743589744,0.492382051282051,0.695923076923077,-8.10797435897436,0.0910102564102564,0.162227319230769,0.22370828025641,0.17934358974359,0.476666666666667,124.987128205128
3,3.6562390625,0.6710625,0.692953125,-4.87559375,0.096425,0.26910015625,0.0006378121875,0.16889375,0.565078125,114.595984375
4,3.82619814814815,0.514349206349206,0.620900793650794,-9.61875396825397,0.0670039682539683,0.27351436984127,0.203147826904762,0.188277777777778,0.451257936507936,125.523047619048
5,4.25027647058824,0.576235294117647,0.650417647058824,-7.63452941176471,0.0412176470588235,0.177189105882353,0.0817587635294118,0.166523529411765,0.490294117647059,127.725411764706
6,3.985244,0.679866666666667,0.71168,-5.92214666666667,0.0787333333333333,0.120228773333333,0.0006521896,0.205025333333333,0.569186666666667,121.925546666667
7,3.55049895833333,0.50525,0.7778125,-6.6208125,0.04675625,0.06396823125,0.065451025,0.225625,0.5058125,123.188875
8,3.99300224358974,0.646442307692308,0.572538461538462,-7.84230769230769,0.0762923076923077,0.324705115384615,0.0776806546153846,0.124344230769231,0.444448076923077,120.481673076923
9,3.60468152173913,0.51245652173913,0.685760869565217,-6.39304347826087,0.0502891304347826,0.178996002173913,0.0571820126086957,0.187717391304348,0.539108695652174,130.531739130435
10,3.4287625,0.60945,0.64185,-8.20615,0.04997,0.311405,0.0027158765,0.16894,0.6296,123.37065
11,3.79708287037037,0.720513888888889,0.632819444444444,-6.18775,0.186308333333333,0.171287458333333,8.81968055555555e-05,0.1806625,0.46375,125.324277777778
12,4.4155158974359,0.618761538461538,0.620146153846154,-8.54068461538461,0.0825684615384615,0.221365147692308,0.317497705769231,0.201546923076923,0.438987692307692,119.636353846154
13,3.66916481481481,0.625888888888889,0.609888888888889,-7.82622222222222,0.0762111111111111,0.301788888888889,3.56555555555556e-05,0.160833333333333,0.514333333333333,130.469888888889
14,3.89631282051282,0.523,0.338538461538462,-8.633,0.0471307692307692,0.680138461538462,0.000857647692307692,0.127007692307692,0.337538461538462,125.106230769231
15,4.19156944444444,0.512901960784314,0.742480392156863,-7.0573137254902,0.0446676470588235,0.0725495362745098,0.0337092265686275,0.182425490196078,0.537755882352941,122.270843137255
